Human gene name,Human gene stable ID,Gene name
,,mt-Tf
,,mt-Rnr1
,,mt-Tv
,,mt-Rnr2
,,mt-Tl1
MT-ND1,ENSG00000198888,mt-Nd1
,,mt-Ti
,,mt-Tq
,,mt-Tm
MT-ND2,ENSG00000198763,mt-Nd2
,,mt-Tw
,,mt-Ta
,,mt-Tn
,,mt-Tc
,,mt-Ty
MT-CO1,ENSG00000198804,mt-Co1
,,mt-Ts1
,,mt-Td
MT-CO2,ENSG00000198712,mt-Co2
,,mt-Tk
MT-ATP8,ENSG00000228253,mt-Atp8
MT-ATP6,ENSG00000198899,mt-Atp6
MT-CO3,ENSG00000198938,mt-Co3
,,mt-Tg
MT-ND3,ENSG00000198840,mt-Nd3
,,mt-Tr
MT-ND4L,ENSG00000212907,mt-Nd4l
MT-ND4,ENSG00000198886,mt-Nd4
,,mt-Th
,,mt-Ts2
,,mt-Tl2
MT-ND5,ENSG00000198786,mt-Nd5
MT-ND6,ENSG00000198695,mt-Nd6
,,mt-Te
MT-CYB,ENSG00000198727,mt-Cytb
,,mt-Tt
,,mt-Tp
,,Gm28489
,,Gm21867
,,Gm29448
,,Gm21127
,,Gm20816
,,Gm29447
,,Gm29446
,,Gm29452
,,Gm29451
SYCP3,ENSG00000139351,Gm20817
,,Gm28633
,,Gm21562
,,Gm29410
,,Gm28298
,,Gm21572
,,Gm28297
,,Gm21753
,,Gm21723
,,Gm28462
,,Gm20818
,,Gm28296
,,Gm21821
,,Gm28295
,,Gm20932
,,Gm29134
,,Gm28303
,,Gm28304
,,Gm28824
,,Gm21810
,,Gm21916
,,Gm29191
,,Gm21756
,,Gm28210
,,Gm29074
,,Gm28211
,,Gm28518
,,Gm28519
,,Gm28520
,,Gm21626
,,Gm28433
,,Gm28521
,,Gm28431
,,Gm21633
,,Gm28432
,,Gm20886
,,Gm28522
,,Gm21808
,,Gm21745
,,Gm28517
,,Gm29532
,,Gm29531
,,Gm28464
,,Gm28841
,,Gm29656
,,Gm28842
,,Gm28843
,,Gm29655
,,Gm28837
,,Gm21647
,,Gm29653
,,Gm28838
,,Gm29654
,,Gm28839
,,Gm29651
,,Gm20866
,,Gm20868
,,Gm29652
,,Gm29080
,,Gm21184
,,Gm21201
,,Gm21841
,,Gm29081
,,Gm29077
,,Gm29076
,,Gm29079
,,Gm29078
,,Gm20853
,,Gm29075
SYCP3,ENSG00000139351,Gm20870
,,Gm29225
,,Gm28483
,,Gm29226
,,Gm28484
,,Gm29227
,,Gm28480
,,Gm20842
,,Gm21880
,,Gm29386
,,Gm29384
,,Gm21896
,,Gm29280
,,Gm20799
,,Gm29279
,,Gm29182
,,Gm28260
,,Gm21795
,,Gm20844
,,Gm28261
,,Gm28264
,,Gm21872
,,Gm20798
,,Gm28463
,,Gm21757
,,Gm28968
,,Gm28495
,,Gm20846
,,Gm20847
,,Gm20848
,,Gm21766
,,Gm20800
,,Gm21683
,,Gm28468
,,Gm20898
,,Gm21855
,,Gm29333
,,Gm29255
,,Gm20902
,,Gm28332
,,Gm28678
,,Gm28333
,,Gm28334
,,Gm28335
SYCP3,ENSG00000139351,Gm20903
,,Gm28336
,,Gm28272
,,Gm28337
,,Gm29256
,,Gm28259
,,Gm28338
,,Gm28273
,,Gm21715
,,Gm29028
,,Gm29029
,,Gm29615
,,Gm29030
,,Gm29023
,,Gm29024
,,Gm29025
,,Gm29026
,,Gm28213
,,Gm28212
,,Gm21799
,,Gm28227
SYCP3,ENSG00000139351,Gm20905
,,Gm29411
,,Gm28222
,,Gm21835
,,Gm28820
,,Gm28223
,,Gm29412
,,Gm29413
,,Gm29671
,,Gm21878
,,Gm28162
,,Gm28789
,,Gm20922
,,Gm20738
SYCP3,ENSG00000139351,Gm20814
,,Gm28787
,,Gm28788
,,Gm28545
,,Gm28547
,,Gm29278
,,Gm28546
,,Gm21922
,,Gm21924
,,Gm21111
,,Gm21735
,,Gm28608
,,Gm28607
,,Gm28771
,,Gm28772
,,Gm28606
,,Gm28773
SYCP3,ENSG00000139351,Gm20850
SYCP3,ENSG00000139351,Gm20897
,,Gm29574
,,Gm28774
,,Gm29575
,,Gm28775
,,Gm21765
,,Gapdh-ps15
,,Gm28776
,,Gm21787
,,Gm28770
,,Gm20901
,,Gm28176
,,Gm28786
,,Gm29360
,,Gm28121
,,Gm29496
,,Gm29497
,,Gm29499
,,Gm28123
,,Gm28120
,,Gm29313
,,Gm29498
,,Gm21180
,,Gm36782
,,Gm20859
,,Gm29839
,,Gm29314
,,Gm29495
,,Gm29310
,,Gm29311
,,Gm21638
,,Gm29312
,,Gm29308
,,Gm29309
,,Gm28702
,,Gm28701
,,Gm28700
,,Gm28699
,,Gm28705
,,Gm28704
,,Gm28540
,,Gm28537
,,Gm28538
,,Gm29569
,,Gm20867
